,formatted_address,lat,lng,query_name
0,"3 Calle 8, Guatemala",14.6504251,-90.5134787,"3 Calle 8-40 Zona 1, Ciudad de Guatemala, Guatemala"
1,"8 Av 1-83 Z-1 Barrio la Democracia Jalapa Jalapa, 21001, Guatemala",14.6358286,-89.98051679999999,"6 Avenida 1-99 Zona 1 Barrio La Democracia, Jalapa, Jalapa"
2,"1 Avenida 4, Guatemala",14.6029046,-90.5148114,"1 Avenida 4-38 Zona 1, Tecún Umán, San Marcos"
3,"San Benito, Guatemala",16.9154714,-89.90711639999999,"3 Avenida Zona 1 Barrio El Porvenir, San Benito, Petén"
4,"Cobán, Guatemala",15.4650586,-90.38425269999999,"Kilometro 164.5 Carretera a Cobán, Purulha, Baja Verapaz"
5,"Tejutla, Guatemala",15.1275014,-91.80502179999999,"4 Avenida 3-71 Zona 2, Tejutla, San Marcos"
6,"8A Av 3, Guatemala",14.6506629,-90.50992959999999,"8 Avenida 3-31 Zona 1, Ciudad de Guatemala, Guatemala"
7,"Calle 1, 11 Avenida, Zona 1, Barrio El Centro, El Estor Izabal, El Estor 77012, Guatemala",15.5245579,-89.3272161,"9 Calle 5 Avenida Zona 1, El Estor, Izabal"
8,"Casa N°. 2 Colonia San Josecito, 11 Calle, Retalhuleu 11001, Guatemala",14.5414893,-91.67628169999999,"Casa #2 Colonia San Josecito Zona 1, Retalhuleu, Retalhuleu"
9,"Chuatuj, Guatemala",15.4069622,-91.2524043,"#SurOccidenteGT | Madrugada 🚨 Ataque armado se suscitó en Chuatuj, Coa..."
10,"RN-12N, San Marcos, Guatemala",15.0413661,-91.80928139999999,"Aldea San Antonio, Serchil, San Marcos"
11,"3 Calle 2, Guatemala",14.6503956,-90.5134906,"3 Calle 2-13 Zona 3, Cobán, Alta Verapaz"
12,"3ra Calle 8-40 01001 Guatemala, Guatemala",14.6452757,-90.5106878,"3ra. Calle 8-40 Zona 1, Ciudad de Guatemala, Guatemala, C.A."
13,"7a. Calle 3-99 Zona 2, 7, Quezaltenango 09001, Guatemala",14.8403853,-91.50946809999999,"3 Calle Zona 2, Concepción Chiquirichapa, Quetzaltenango"
14,"1 avenida, Quezaltenango, Guatemala",14.8529605,-91.51193029999999,"1 Avenida 3-51 Zona 1, Quetzaltenango, Quetzaltenango"
15,"5 Calle, Guatemala",14.6113775,-90.5264661,"0 Avenida 5 Calle Zona 2 Barrio el Rosario, Coatepeque, Quetzaltenango"
16,"Chiquimula, Guatemala",14.8023174,-89.54185199999999,"9 Calle ""A"" atrás de Gobernación Departamental Zona 1, Chiquimula, Chiquimula"
17,"Santa Fe, NM, USA",35.6869752,-105.937799,"#SurOccidenteGT 🚨 Ataque armado se suscita en Aldea Santa Fe, Coatepequ..."
18,"1a Avenida 3-51, Mazatenango, Guatemala",14.5364097,-91.5058097,"1 Avenida 3-51 Zona 1, Mazatenango, Suchitepequez"
19,"9a. Calle calzada Revolución del 71 2-24 Z 1, Guatemala",14.9643745,-91.7897974,"Calzada Revolución del 71 Zona 1, San Marcos, San Marcos"
20,"Sacapulas, Guatemala",15.2855993,-91.0909492,"Barrio San Pedro Calle Principal frente al Puente Fray Bartolomé, Sacapulas, Quiché"
21,"Zone 5, Guatemala City, Guatemala",14.6244193,-90.4993588,"13 Calle 1-66 Zona 5 Frente a CDAG, Santa Cruz del Quiché, Quiché"
22,"Puerto Barrios, Guatemala",15.6852701,-88.6165917,"Colonia Colina I 1 Calle atrás del Mercado Cantonal, Santo Tomás de Castilla, Izabal"
23,"6A Avenida 6, Guatemala",14.6093607,-90.51901740000001,"6 Avenida 6 Calle ""B"" 6-36 Zona 1, El Palmar, Quetzaltenango"
