,Unnamed: 0,fb_id,fb_name,tw_id,tw_name,type,address,latitude,longitude
0,0,180532465311930,Rode Kruis,14567528.0,Rode Kruis,main," Anna van Saksenlaan 50, 2593 HT The Hague , Postal Address:, P.O. Box 28120, 2502 KC The Hague   Netherlands ",52.0818623,4.3468228
1,1,149048595164968,Rode Kruis Amsterdam-Amstelland,253550192.0,Rode Kruis Amsterdam-Amstelland,branch,Valkenburgerstraat 24 1011 LZ Amsterdam Netherlands ,52.37031515918,4.9081180105921
2,2,262956790446133,Rode Kruis Haaglanden,501149435.0,RodeKruis Haaglanden,branch,Zilverstraat 2 2544 ER The Hague Netherlands ,52.051559999999995,4.26091
3,3,459686921046656,Rode Kruis Studentendesk Delft,44962575.0,Rode Kruis Delft,branch,Vulcanusweg 263 2624AV Delft Netherlands ,51.99673,4.36036
4,4,535212706999090,Rode Kruis district Rotterdam-Rijnmond,1343882960.0,Rode Kruis Rotterdam - 010 2060622,branch,Leeuwenstraat 9 3011 AL Rotterdam Netherlands ,51.921363799999995,4.482181400000001
5,5,1689606157948820,Rode Kruis Utrecht,206720345.0,Rode Kruis Utrecht,branch,Koningsweg 2 Utrecht Netherlands ,52.07744,5.13323
6,6,150818164979368,Rode Kruis Leiden e.o.,228065570.0,RodeKruisLeiden,branch,Apollolaan 1b 2324 BR Leiden Netherlands ,52.139693626317,4.4765904569
7,7,681631778847763,Rode Kruis Woerden,,,branch,Woerden Netherlands ,52.0798287,4.8627239
8,8,149048595164968,Rode Kruis Amsterdam-Amstelland,,,branch,Valkenburgerstraat 24 1011 LZ Amsterdam Netherlands ,52.37031515918,4.9081180105921
9,9,667776816592311,Rode Kruis Studentendesk Wageningen,,,branch,Wageningen Netherlands ,51.969186799999996,5.6653948
10,10,113007342241825,Rode Kruis Venlo,,,branch,Nijmeegseweg 40 5916PT Venlo Netherlands ,51.38942,6.17622
11,11,132119723547236,Rode Kruis Ziekenhuis / Brandwondencentrum Beverwijk,,,branch,Vondellaan 13 1942 LE Beverwijk Netherlands ,52.479459999999996,4.6507699
12,12,1460675580851761,Rode Kruis Apeldoorn,,,branch,Schuttersweg 41 7314LD Apeldoorn Netherlands ,52.214000063604004,5.9435606002808
13,13,1689606157948820,Rode Kruis Utrecht,,,branch,Koningsweg 2 Utrecht Netherlands ,52.07744,5.13323
14,14,1434454030125116,Bike-Team Rode Kruis,,,branch,Brahmsstraat 5 8031 DB Zwolle Netherlands ,52.526419999999995,6.09295
15,15,653600581404206,Rode Kruis Doesburg,,,branch,Roggestraat 3 Doesburg Netherlands ,52.014934456899994,6.1340430378913995
16,16,262956790446133,Rode Kruis Haaglanden,,,branch,Zilverstraat 2 2544 ER The Hague Netherlands ,52.051559999999995,4.26091
17,17,425600167520620,Rode Kruis Studentendesk Amsterdam,,,branch,Amsterdam Netherlands ,52.367984299999996,4.9035614
