|created_at|geo_coordinates|hashtags|id|in_reply_to|lang|media_urls|name|profile_location|rt_created_at|rt_geo_coordinates|rt_id|rt_name|rt_profile_location|rt_screen_name|rt_text|screen_name|text|tweet_links|tweet_type|user_entered_text|user_mentions
3|2019-03-22 17:20:00||['Data', 'GIS', 'ZambianRedCross', 'overstromingen', 'Idai']|1109142696273371136||nl|['https://pbs.twimg.com/media/D2RrfMbXQAEt3ly.jpg']|Rode Kruis|||||||||RodeKruis|#Data- en #GIS-experts van @MalawiRedCross, @Federation en #ZambianRedCross zijn hard aan het werk om #overstromingen door cycloon #Idai in kaart te brengen. @OdhiamboOpondo @innobonaventure https://t.co/um3qnkeXkY|[]|tweet|#Data- en #GIS-experts van @MalawiRedCross, @Federation en #ZambianRedCross zijn hard aan het werk om #overstromingen door cycloon #Idai in kaart te brengen. @OdhiamboOpondo @innobonaventure https://t.co/um3qnkeXkY|[{'screen_name': 'MalawiRedCross', 'name': 'Malawi Red Cross Society', 'id': 949033115061760000, 'id_str': '949033115061760000', 'indices': [27, 42]}, {'screen_name': 'OdhiamboOpondo', 'name': 'Austin Odhiambo', 'id': 117761825, 'id_str': '117761825', 'indices': [158, 173]}, {'screen_name': 'innobonaventure', 'name': 'Innocentih Bwalyah', 'id': 1317348882, 'id_str': '1317348882', 'indices': [174, 190]}]
5|2019-03-31 16:44:51||[]|1112395341175885832||en|[]|Malawi Red Cross Society||||||||As the first step we are addressing the people in the evacuation camp to make sure everybody understands what items the @MalawiRedCross is about to distribute how the distribution will work https://t.co/7ZUWZU6GHj|MalawiRedCross|Malawi Red Cross Society to roll out a 3 months complehensive Floods Disaster Response https://t.co/hb5Fn8Mj28|['https://twitter.com/tmarki/status/1112276135344328705']|quote|Malawi Red Cross Society to roll out a 3 months complehensive Floods Disaster Response https://t.co/hb5Fn8Mj28|[]
14|2019-03-28 17:25:04||['RedCross', 'MalawiFloods2019']|1111318298644414467||en|['https://pbs.twimg.com/media/D2ww3VPX4AACyAv.jpg', 'https://pbs.twimg.com/media/D2ww41CW0AANW0g.jpg', 'https://pbs.twimg.com/media/D2ww51iX0AUpniR.jpg']|Malawi Red Cross Society|||||||||MalawiRedCross|A generous donation of 1 MILLION EURO has been granted by @EU_ECHO to support the #RedCross response to #MalawiFloods2019. The funds will be used for addressing immediate shelter needs of displaced people in the next 3 months implemented by the @MalawiRedCross https://t.co/aQewIqtJ3j|[]|tweet|A generous donation of 1 MILLION EURO has been granted by @EU_ECHO to support the #RedCross response to #MalawiFloods2019. The funds will be used for addressing immediate shelter needs of displaced people in the next 3 months implemented by the @MalawiRedCross https://t.co/aQewIqtJ3j|[{'screen_name': 'eu_echo', 'name': 'EU Humanitarian Aid 🇪🇺', 'id': 470099591, 'id_str': '470099591', 'indices': [58, 66]}, {'screen_name': 'MalawiRedCross', 'name': 'Malawi Red Cross Society', 'id': 949033115061760000, 'id_str': '949033115061760000', 'indices': [245, 260]}]
24|2019-03-28 08:23:21||['MalawiRedCross', 'Transparency', 'Accountability']|1111181970531368962||en|['https://pbs.twimg.com/media/D2u110OW0AES11p.jpg', 'https://pbs.twimg.com/media/D2u13GHXgAAMtVE.jpg', 'https://pbs.twimg.com/media/D2u13yUWoAA4Ovf.jpg', 'https://pbs.twimg.com/media/D2u15W4X4AEOytz.jpg']|Malawi Red Cross Society|||||||||MalawiRedCross|#MalawiRedCross and it's movement partners holding a planning meeting of Floods Response Operation. MRCS President Levison Changole calls for #Transparency and #Accountability during the response operation. IFRC and ICRC in attendance and pledge for continued Support. https://t.co/W87AP9qXiM|[]|tweet|#MalawiRedCross and it's movement partners holding a planning meeting of Floods Response Operation. MRCS President Levison Changole calls for #Transparency and #Accountability during the response operation. IFRC and ICRC in attendance and pledge for continued Support. https://t.co/W87AP9qXiM|[]
26|2019-05-08 05:46:56||['MalawiRedCrossSociety', 'IFRC', 'ICRC', 'Love']|1126000512166502400||en|['https://pbs.twimg.com/media/D6BbIU7XkAU2ddl.jpg']|Malawi Red Cross Society|||||||||MalawiRedCross|#MalawiRedCrossSociety joins the #IFRC, #ICRC the world and the Red Cross movement on 8th May to cerebrate the Humanitarian work of the Red Cross Volunteers who dedicate their time to serve Humanity with #Love by bringing Hope to Those in Need. https://t.co/1rPQYNcM5F|[]|tweet|#MalawiRedCrossSociety joins the #IFRC, #ICRC the world and the Red Cross movement on 8th May to cerebrate the Humanitarian work of the Red Cross Volunteers who dedicate their time to serve Humanity with #Love by bringing Hope to Those in Need. https://t.co/1rPQYNcM5F|[]
27|2019-03-16 19:37:38||[]|1107003006829121536||en|['https://pbs.twimg.com/media/D1zc3mMX4AIRJkr.jpg', 'https://pbs.twimg.com/media/D1zc4gUXQAI0ti0.jpg']|Malawi Red Cross Society|||||||||MalawiRedCross|Accountability and trustworthy earns Malawi Red Cross a donation worthy MK13 Million  towards Flood victims by ILLOVO Sugar Company and its partners who requested the Chikwawa District Council Commissioner to identify a trustworthy Organization to channel through their donation. https://t.co/m4OUDBdupY|[]|tweet|Accountability and trustworthy earns Malawi Red Cross a donation worthy MK13 Million  towards Flood victims by ILLOVO Sugar Company and its partners who requested the Chikwawa District Council Commissioner to identify a trustworthy Organization to channel through their donation. https://t.co/m4OUDBdupY|[]
29|2019-04-11 17:57:08||['BishopMackenzie', 'MalawiRedCross']|1116399798826016769||en|['https://pbs.twimg.com/media/D349ELgXoAA_a1G.jpg', 'https://pbs.twimg.com/media/D34-sVhX4AEM-PG.jpg']|Malawi Red Cross Society|||||||||MalawiRedCross|#BishopMackenzie International School students, teachers and parents donate personal money over MK4.7 Million to Children affected by Floods through #MalawiRedCross to support the needs of the children in the camps. Director of Programs @ChisalaPrisca applauded the kind gesture. https://t.co/Prdv01Lneq|[]|tweet|#BishopMackenzie International School students, teachers and parents donate personal money over MK4.7 Million to Children affected by Floods through #MalawiRedCross to support the needs of the children in the camps. Director of Programs @ChisalaPrisca applauded the kind gesture. https://t.co/Prdv01Lneq|[{'screen_name': 'ChisalaPrisca', 'name': 'Prisca Chisala', 'id': 1050079374417035265, 'id_str': '1050079374417035265', 'indices': [237, 251]}]
45|2019-04-01 11:51:05||['cycloonidai']|1112683799635283968||nl|['https://pbs.twimg.com/ext_tw_video_thumb/1112681927201431555/pu/img/Rgb5ueCTZedCdBcX.jpg']|RodeKruis-Vlaanderen|||||||||RodeKruisVL|"Zó wordt er geholpen in Malawi na doortocht #cycloonidai! Gisteren kregen deze slachtoffers hulpgoederen (waaronder dekzeilen, dekens, een emmer, zeep en gereedschap) dankzij @MalawiRedCross, @eu_echo en @DFID_UK.

Help de slachtoffers en doe een gift op https://t.co/FkIfA1qbqD https://t.co/NZpzzgVsAy"|['http://www.rodekruis.be/cycloonidai']|tweet|"Zó wordt er geholpen in Malawi na doortocht #cycloonidai! Gisteren kregen deze slachtoffers hulpgoederen (waaronder dekzeilen, dekens, een emmer, zeep en gereedschap) dankzij @MalawiRedCross, @eu_echo en @DFID_UK.

Help de slachtoffers en doe een gift op https://t.co/FkIfA1qbqD https://t.co/NZpzzgVsAy"|[{'screen_name': 'MalawiRedCross', 'name': 'Malawi Red Cross Society', 'id': 949033115061760000, 'id_str': '949033115061760000', 'indices': [175, 190]}, {'screen_name': 'eu_echo', 'name': 'EU Humanitarian Aid 🇪🇺', 'id': 470099591, 'id_str': '470099591', 'indices': [192, 200]}, {'screen_name': 'DFID_UK', 'name': 'DFID', 'id': 19915362, 'id_str': '19915362', 'indices': [204, 212]}]
48|2019-05-08 05:56:00||['Humanity', 'Love']|1126002792450097152||en|['https://pbs.twimg.com/ext_tw_video_thumb/1126002455236481024/pu/img/8Qvtkv7-qWrJQlDI.jpg']|Malawi Red Cross Society|||||||||MalawiRedCross|Serve #Humanity, #Love Humanity. Hope to those in need. https://t.co/1Ef4Mwx19o|[]|tweet|Serve #Humanity, #Love Humanity. Hope to those in need. https://t.co/1Ef4Mwx19o|[]
56|2019-04-09 22:25:01||[]|1115742440122662912||en|[]|Malawi Red Cross Society||||||||2600 tarpaulins have just arrived to Blantyre, donated by the @BritishRedCross - they will be distributed by the @MalawiRedCross in the coming days as part of the response to #MalawiFloods2019 supported by @EU_ECHO @DFID_UK @RodeKruisVL @danskrodekors @RodeKruis @CroixRouge_CH https://t.co/46PGvH4s9K|MalawiRedCross|Malawi Red Cross 2019 Flood Response Operation on track. https://t.co/bJF3ExOQTc|['https://twitter.com/tmarki/status/1115560674036469760']|quote|Malawi Red Cross 2019 Flood Response Operation on track. https://t.co/bJF3ExOQTc|[]
